Genre,Film,Director,Leading actors,Year of cinema release,Country
Comedy,Dazed and Confused,Richard Linklater,Adam Goldberg/Jason London/Joey Lauren Adams/Joey Lauren Adams/Milla Jovovich/Rory Cochrane/Shawn Andrew,1993,USA
Comedy,MASH,Robert Altman,Donald Sutherland/Elliott Gould/Sally Kellerman,1970,USA
Comedy,Groundhog Day,Harold Ramis,Andie MacDowell/Bill Murray/Chris Elliott/Stephen Tobolowsky,1993,USA
Comedy,Clueless,Amy Heckerling,Alicia Silverstone/Dan Hedaya/Stacey Dash,1995,USA
Comedy,The Great Dictator,Charlie Chaplin,Charlie Chaplin/Jack Oakie/Paulette Goddard,1940,USA
Comedy,Clerks,Kevin Smith,Brian O'Halloran/Jeff Anderson/Marilyn Ghigliotti,1994,USA
Comedy,The Jerk,Carl Reiner,Steve Martin,1979,USA
Comedy,Shaun of the Dead,Edgar Wright,Dylan Moran/Kate Ashfield/Nick Frost/Simon Pegg,2004,UK
Action,Apocalypse Now,Francis Coppola,Dennis Hopper/Frederic Forrest/Laurence Fishburne/Marlon Brando/Martin Sheen/Robert Duvall/Rpobert Duvall,1979,USA
Action,North by Northwest,Alfred Hitchcock,Cary Grant/Eva Marie Saint/Eva Marie Saint/James Mason/Jessie Royce Landis/Leo G Carroll/Martin Landau,1959,USA
Action,Once Upon a Time in the West,Sergio Leone,Charles Bronson/Claudia Cardinale/Henry Fonda/Jason Robards,1968,Italy
Action,The Wild Bunch,Sam Pekinpah,Ernest Borgnine/Robert Ryan/William Holden,1969,USA
Action,Deliverance,John Boorman ,Burt Reynolds/Jon Voight/Ned Beatty,1972,USA
Action,City of God,Fernando Meirelles,Alexandre Rodrigues/Leandro Firmino da Hora/Matheus Nachtergaele/Phelipe Haagensen,2002,Brazil
Action,Paths of Glory,Stanley Kubrick,Adolphe Menjou/Kirk Douglas/Ralph Meeker,1957,USA
Action,The Wages of Fear,Henri-Georges Clouzot,Charles Vanel/Folco Lulli/Yves Montand,1953,France
Action,Crouching Tiger Hidden Dragon,Ang Lee,Chang Chen/Chow Yun-Fat/Michelle Yeoh/Zhang Ziyi/Ziyi Zhang,2000,Taiwan
Action,The Thin Red Line,Terrence Malik,Adrien Brody/Ben Chaplin/Nick Nolte/Sean Penn,1998,USA
Action,Raiders of the Lost Ark,Steven Spielberg,Harrison Ford/Karen Allen/Paul Freeman/Ronald Lacey,1981,USA
Action,Bullitt,Peter Yates,Jacqueline Bisset/Robert Vaughn/Steve McQueen,1968,USA
Action,Ran,Akira Kurosawa,Akira Terao/Daisuke Ryu/Mieko Harada/Tatsuya Nakadai,1985,Japan
Action,Die Hard,John McTeirnan,Alan Rickman/Bonnie Bedelia/Bruce Willis,1988,Japan
Action,The Adventures of Robin Hood,Michael Curtiz/William Keighley,Basil Rathbone/Claude Rains/Errol Flynn/Olivia De Havilland/Olivia de Havilland/William Keighley,1938,USA
Action,The Searchers,John Ford,Jeffrey Hunter/John Wayne/Natalie Wood/Vera Miles/Ward Bond,1956,USA
Action,Goldfinger,Guy Hamilton,Bernard Lee/Gert Frobe/Harold Sakata/Honor Blackman/Lois Maxwell/Sean Connery/Shirley Eaton/Tania Mallet,1964,UK
Action,Full Metal Jacket,Stanley Kubrick,Adam Baldwin/Lee Ermey/Matthew Modine/Vincent D'Onofrio,1987,USA
Action,Last of the Mohicans,Michael Mann,Daniel Day-Lewis/Jodhi May/Madeleine Stowe,1992,USA
Action,Deer Hunter,Michael Cimino,Christopher Walken/Meryl Streep/Robert De Niro,1978,USA
Action,Gladiator,Ridley Scott,Connie Nielsen/Joaquin Phoenix/Oliver Reed/Russell Crowe,2000,USA
Action,Rome Open City,Roberto Rossellini,Aldo Fabrizi/Anna Magnani/Marcello Pagliero,1945,Italy
Action,Butch Cassidy,George Roy Hill,Katharine Ross/Paul Newman/Robert Redford,1969,USA
Action,Where Eagles Dare,Brian G. Hutton,Clint Eastwood/Mary Ure/Richard Burton,1968,USA
Action,The Incredibles,Brad Bird,Craig T Nelson/Holly Hunter/Jason Lee/Samuel L Jackson,2004,USA
Drama,Andrei Rublev,Andrei Tarkovsky,Anatoli Solonitsyn/Andrei Mikhalkov-Konchalovsky/Andrei Tarkovsky/Ivan Lapikov/Nikolai Grinko,1966,Soviet Union
Drama,Mulholland Dr,David Lynch,Justin Theroux/Laura Harring/Naomi Watts,2001,France
Drama,L’Atalante,Jean Vigo,Dita Parlo/Jean Daste/Michel Simon,1934,France
Drama,Tokyo Story,Yasujiro Ozu,Chieko Higashiyama/Chishu Ryu/Setsuko Hara/Toru Abu,1953,Japan
Drama,Citizen Kane,Orson Welles,Dorothy Comingore/Everett Sloane/Joseph Cotten/Orson Welles,1941,USA
